,county_code_x,district_code_x,school_code_x,filler,year,subgroup_id,type,total_tested,total_tested_scores,grade,test_id,caaspp_enrollment,num_tested,mean_score,pct_exceed,pct_met,pct_met_above,pct_nearly_met,pct_not_met,students_with_scores,a1_above,a1_near,a1_below,a2_above,a2_near,a2_below,a3_above,a3_near,a3_below,a4_above,a4_near,a4_below,unique_code,category,subgroup,county_code_y,district_code_y,school_code_y,type_id,county,district,school,zipcode
0,1,61143,0,,2018,1,B,4784,4777,3,2,722.0,701.0,2474.0,42.57,27.71,70.29,16.0,13.71,700.0,54.57,27.71,17.71,50.43,33.43,16.14,50.57,35.71,13.71,0.0,0.0,0.0,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
1,1,61143,0,,2018,1,B,4812,4799,3,1,722.0,694.0,2458.5,42.36,21.76,64.12,17.0,18.88,694.0,41.13,39.97,18.9,36.22,41.85,21.93,33.91,55.56,10.53,40.4,43.15,16.45,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
2,1,61143,0,,2018,1,B,4812,4799,4,1,766.0,744.0,2493.8,40.99,19.62,60.62,15.19,24.19,744.0,36.83,43.15,20.03,33.6,42.07,24.33,31.59,55.78,12.63,35.35,45.3,19.35,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
3,1,61143,0,,2018,1,B,4784,4777,4,2,766.0,746.0,2495.2,30.7,23.86,54.56,27.08,18.36,746.0,39.73,30.6,29.66,36.46,40.88,22.65,37.72,39.19,23.09,0.0,0.0,0.0,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
4,1,61143,0,,2018,1,B,4784,4777,5,2,721.0,704.0,2532.8,37.93,17.47,55.4,21.16,23.44,704.0,43.75,27.13,29.12,36.79,36.79,26.42,32.53,42.76,24.72,0.0,0.0,0.0,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
5,1,61143,0,,2018,1,B,4812,4799,5,1,721.0,699.0,2535.7,37.48,27.61,65.09,16.02,18.88,699.0,40.11,41.98,17.91,42.98,35.67,21.35,26.07,58.88,15.04,39.11,41.69,19.2,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
6,1,61143,0,,2018,1,B,4812,4799,6,1,739.0,714.0,2556.8,31.46,33.29,64.75,17.28,17.98,712.0,40.08,40.08,19.83,36.21,39.04,24.75,28.77,60.37,10.86,43.52,41.27,15.21,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
7,1,61143,0,,2018,1,B,4784,4777,6,2,739.0,717.0,2562.1,38.97,19.55,58.52,19.27,22.21,716.0,43.44,27.65,28.91,38.55,37.29,24.16,39.8,35.89,24.3,0.0,0.0,0.0,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
8,1,61143,0,,2018,1,B,4784,4777,7,2,704.0,678.0,2582.8,36.19,25.85,62.04,19.65,18.32,677.0,44.28,29.07,26.66,37.43,42.6,19.97,38.67,48.0,13.33,0.0,0.0,0.0,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
9,1,61143,0,,2018,1,B,4812,4799,7,1,705.0,677.0,2588.9,33.63,35.11,68.74,15.56,15.7,675.0,42.43,38.28,19.29,44.25,37.97,17.79,24.81,62.11,13.08,42.2,45.62,12.18,1611430,All Students,All Students,1.0,61143.0,0.0,6.0,Alameda,Berkeley Unified,,
